,Rank,Delivery,Point,Address,Secors
0,1,"소이연남마오
",4.6,신사/압구정,태국 음식
1,2,"보타르가
",4.5,신사/압구정,이탈리안
2,3,"롸카두들내쉬빌핫치킨
(압구정점)
",4.5,신사/압구정,브런치 / 버거 / 샌드위치
3,4,"카츠바이콘반
",4.5,신사/압구정,까스 요리
4,5,"멘야하나비
(신사점)
",4.5,신사/압구정,라멘 / 소바 / 우동
5,6,"까폼
",4.5,신사/압구정,태국 음식
6,7,"보니스피자펍
",4.4,이태원/한남동,기타 양식
7,8,"테스트키친
",4.4,신사/압구정,이탈리안
8,9,"모터시티
(잠실점)
",4.4,송파/가락,기타 양식
9,10,"백곰막걸리앤양조장
",4.4,신사/압구정,전통 주점 / 포차
10,11,"다운타우너
(청담점)
",4.3,신사/압구정,브런치 / 버거 / 샌드위치
11,12,"멘야하나비
",4.3,송파/가락,라멘 / 소바 / 우동
12,13,"리틀넥
(청담점)
",4.3,신사/압구정,브런치 / 버거 / 샌드위치
13,14,"아이엠어버거
",4.3,홍대,브런치 / 버거 / 샌드위치
14,15,"우마텐
",4.3,신사/압구정,돈부리 / 일본 카레 / 벤토
15,16,"그리지하우스
",4.3,송파/가락,스테이크 / 바베큐
16,17,"묵전
",4.3,신사/압구정,전통 주점 / 포차
17,18,"다운타우너
(잠실점)
",4.3,송파/가락,브런치 / 버거 / 샌드위치
18,19,"뽕나무쟁이
(선릉본점)
",4.3,대치동,고기 요리
19,20,"파넬카페
",4.3,신사/압구정,브런치 / 버거 / 샌드위치
